GeneIdentifier	Chromosome	Start	Stop	Strand
AT3G24513	Chr3	8933920	8933977	+
AT3G24514	Chr3	8937382	8937472	+
AT3G24516	Chr3	8937776	8937588	-
AT3G24517	Chr3	8938641	8938552	-
AT3G24575	Chr3	8968261	8968623	+
AT3G24580	Chr3	8969162	8970298	+
AT3G24605	Chr3	8974867	8974436	-
AT3G24610	Chr3	8976575	8976292	-
AT3G24670	Chr3	9008801	9008722	-
AT3G24700	Chr3	9022281	9022936	+
AT3G24710	Chr3	9024367	9024167	-
AT3G24730	Chr3	9030894	9030739	-
AT3G24850	Chr3	9071105	9072184	+
AT3G24929	Chr3	9103981	9103989	+
AT3G25012	Chr3	9111934	9112019	+
AT3G25014	Chr3	9114707	9114546	-
AT3G25090	Chr3	9141094	9140512	-
AT3G25200	Chr3	9176932	9176982	+
AT3G25221	Chr3	9184688	9184792	+
AT3G25270	Chr3	9204965	9203934	-
AT3G25280	Chr3	9206183	9206279	+
AT3G25420	Chr3	9217832	9217971	+
AT3G25460	Chr3	9232666	9231581	-
AT3G25490	Chr3	9241725	9241836	+
AT3G25493	Chr3	9243600	9243571	-
AT3G25550	Chr3	9278878	9279038	+
AT3G25650	Chr3	9336459	9336214	-
AT3G25716	Chr3	9373413	9373118	-
AT3G25720	Chr3	9380234	9380285	+
AT3G25727	Chr3	9394334	9394303	-
AT3G25750	Chr3	9400955	9401447	+
AT3G25850	Chr3	9458954	9458178	-
AT3G25880	Chr3	9470033	9469987	-
AT3G25960	Chr3	9498439	9499932	+
AT3G26010	Chr3	9511901	9513316	+
AT3G26040	Chr3	9519741	9521094	+
AT3G26125	Chr3	9551812	9553602	+
AT3G26135	Chr3	9557425	9557372	-
AT3G26235	Chr3	9602005	9602062	+
AT3G26250	Chr3	9613168	9611696	-
AT3G26310	Chr3	9642779	9642476	-
AT3G26390	Chr3	9663950	9663450	-
AT3G26445	Chr3	9680746	9680714	-
AT3G26512	Chr3	9711769	9711777	+
AT3G26616	Chr3	9788141	9788105	-
AT3G26620	Chr3	9790628	9790780	+
AT3G26800	Chr3	9862173	9862778	+
AT3G26820	Chr3	9881128	9881305	+
AT3G26860	Chr3	9901884	9901701	-
AT3G26870	Chr3	9903680	9903288	-
AT3G27030	Chr3	9974225	9974029	-
AT3G27140	Chr3	10008174	10008124	-
AT3G27185	Chr3	10036359	10036327	-
AT3G27329	Chr3	10114192	10114560	+
AT3G27331	Chr3	10115541	10115551	+
AT3G27416	Chr3	10147892	10147371	-
AT3G27480	Chr3	10175555	10174574	-
AT3G27490	Chr3	10180148	10179866	-
AT3G27495	Chr3	10182561	10182295	-
AT3G27600	Chr3	10224948	10224573	-
AT3G27680	Chr3	10255290	10254886	-
AT3G27690	Chr3	10255906	10256150	+
AT3G27720	Chr3	10271876	10272007	+
AT3G27831	Chr3	10320092	10320029	-
AT3G27835	Chr3	10322306	10322243	-
AT3G27840	Chr3	10323354	10323950	+
AT3G27980	Chr3	10393904	10394206	+
AT3G28020	Chr3	10419149	10419051	-
AT3G28155	Chr3	10485991	10485962	-
AT3G28190	Chr3	10512235	10512298	+
AT3G28193	Chr3	10514762	10514634	-
AT3G28216	Chr3	10523424	10523185	-
AT3G28243	Chr3	10532502	10532389	-
AT3G28250	Chr3	10533324	10533689	+
AT3G28280	Chr3	10541670	10540790	-
AT3G28291	Chr3	10550927	10551106	+
AT3G28310	Chr3	10576961	10577149	+
AT3G28320	Chr3	10581831	10582784	+
AT3G28330	Chr3	10587759	10586566	-
AT3G28335	Chr3	10588152	10588184	+
AT3G28380	Chr3	10628201	10627965	-
AT3G28390	Chr3	10633967	10633767	-
AT3G28410	Chr3	10642071	10641154	-
AT3G28415	Chr3	10651540	10651343	-
AT3G28470	Chr3	10675724	10675592	-
AT3G28520	Chr3	10688323	10689759	+
AT3G28530	Chr3	10690637	10690714	+
AT3G28590	Chr3	10718320	10718333	+
AT3G28610	Chr3	10724990	10726414	+
AT3G28620	Chr3	10727826	10728716	+
AT3G28635	Chr3	10731391	10731311	-
AT3G28640	Chr3	10733032	10731518	-
AT3G28674	Chr3	10747994	10747818	-
AT3G28853	Chr3	10852080	10851718	-
AT3G28870	Chr3	10890355	10890727	+
AT3G28875	Chr3	10892804	10893261	+
AT3G28918	Chr3	10932966	10933058	+
AT3G28922	Chr3	10946033	10946042	+
AT3G28925	Chr3	10957887	10957923	+
AT3G28958	Chr3	10982706	10982831	+
AT3G29033	Chr3	11024007	11024044	+
AT3G29050	Chr3	11040755	11040491	-
AT3G29080	Chr3	11069352	11069495	+
AT3G29173	Chr3	11138404	11138469	+
AT3G29190	Chr3	11163336	11163094	-
AT3G29255	Chr3	11209586	11209793	+
AT3G29305	Chr3	11249491	11249457	-
AT3G29340	Chr3	11262440	11262225	-
AT3G29375	Chr3	11280151	11280261	+
AT3G29380	Chr3	11283524	11282684	-
AT3G29385	Chr3	11285402	11285302	-
AT3G29450	Chr3	11322669	11322787	+
AT3G29560	Chr3	11360208	11360152	-
AT3G29570	Chr3	11364789	11363806	-
AT3G29580	Chr3	11395871	11395765	-
AT3G29636	Chr3	11468857	11468620	-
AT3G29645	Chr3	11481190	11481086	-
AT3G29690	Chr3	11541549	11541486	-
AT3G29720	Chr3	11551369	11551282	-
AT3G29740	Chr3	11578468	11578608	+
AT3G29750	Chr3	11580600	11580409	-
AT3G29763	Chr3	11595441	11593924	-
AT3G29765	Chr3	11597077	11595467	-
AT3G29785	Chr3	11612686	11612357	-
AT3G29790	Chr3	11693622	11693502	-
AT3G29791	Chr3	11695756	11695762	+
AT3G29794	Chr3	14885709	14884504	-
AT3G29796	Chr3	11708561	11708831	+
AT3G29800	Chr3	11720096	11720884	+
AT3G29830	Chr3	11737049	11737981	+
AT3G30160	Chr3	11785377	11785188	-
AT3G30200	Chr3	11834262	11834189	-
AT3G30220	Chr3	11878458	11878300	-
AT3G30222	Chr3	11878907	11878632	-
AT3G30230	Chr3	11881788	11881334	-
AT3G30235	Chr3	11882266	11882365	+
AT3G30280	Chr3	11914366	11915697	+
AT3G30290	Chr3	11919546	11919229	-
AT3G30320	Chr3	11931287	11931465	+
AT3G30370	Chr3	11965719	11965180	-
AT3G30430	Chr3	12064952	12065296	+
AT3G30520	Chr3	12130340	12130438	+
AT3G30525	Chr3	12132865	12133338	+
AT3G30705	Chr3	12271726	12271619	-
AT3G30739	Chr3	12370405	12370305	-
AT3G30770	Chr3	12445493	12445729	+
AT3G30805	Chr3	12489925	12489715	-
AT3G30820	Chr3	12529843	12530120	+
AT3G30823	Chr3	12562099	12562040	-
AT3G30840	Chr3	12589026	12588936	-
AT3G30842	Chr3	12600432	12600125	-
AT3G30845	Chr3	12624754	12624437	-
AT3G31350	Chr3	12702587	12702672	+
AT3G31402	Chr3	12773539	12773535	-
AT3G31430	Chr3	12796871	12795861	-
AT3G31550	Chr3	12836283	12836420	+
AT3G31560	Chr3	12870400	12870588	+
AT3G31900	Chr3	12875071	12875104	+
AT3G31950	Chr3	12950113	12950636	+
AT3G32047	Chr3	13061048	13061054	+
AT3G32050	Chr3	13068582	13068484	-
AT3G32090	Chr3	13078956	13079189	+
AT3G32130	Chr3	13127479	13127869	+
AT3G32150	Chr3	13143627	13143736	+
AT3G32160	Chr3	13145440	13145598	+
AT3G32190	Chr3	13164557	13164408	-
AT3G32200	Chr3	13171527	13171081	-
AT3G32260	Chr3	13219168	13219305	+
AT3G32280	Chr3	13233832	13234026	+
AT3G32330	Chr3	13276082	13276339	+
AT3G32380	Chr3	13315983	13315792	-
AT3G32400	Chr3	13360630	13360596	-
AT3G32410	Chr3	13369133	13368435	-
AT3G32896	Chr3	13424905	13425045	+
AT3G32904	Chr3	13452807	13452574	-
AT3G32960	Chr3	13499677	13500222	+
AT3G33187	Chr3	14021392	14021325	-
AT3G33293	Chr3	14037626	14037347	-
AT3G33393	Chr3	14038234	14038109	-
AT3G33494	Chr3	14038360	14038648	+
AT3G42060	Chr3	14254269	14254072	-
AT3G42130	Chr3	14298883	14298850	-
AT3G42140	Chr3	14303018	14302879	-
AT3G42148	Chr3	14308169	14308062	-
AT3G42153	Chr3	14312254	14312210	-
AT3G42155	Chr3	14313498	14313424	-
AT3G42160	Chr3	14314583	14314653	+
AT3G42310	Chr3	14459818	14459894	+
AT3G42390	Chr3	14518467	14518215	-
AT3G42550	Chr3	14669135	14669116	-
AT3G42560	Chr3	14680265	14680414	+
AT3G42565	Chr3	14683410	14683051	-
AT3G42570	Chr3	14689058	14689162	+
AT3G42628	Chr3	14720872	14720735	-
AT3G42660	Chr3	14751280	14751556	+
AT3G42723	Chr3	14841189	14841022	-
AT3G42770	Chr3	14867122	14868000	+
AT3G42780	Chr3	14871213	14871743	+
AT3G42786	Chr3	14876476	14877255	+
AT3G42830	Chr3	14930678	14930552	-
AT3G42870	Chr3	14949456	14949520	+
AT3G42940	Chr3	15006613	15007194	+
AT3G42990	Chr3	15030354	15030378	+
AT3G43148	Chr3	15139995	15140019	+
AT3G43150	Chr3	15143695	15143889	+
AT3G43153	Chr3	15150916	15150853	-
AT3G43160	Chr3	15166561	15166633	+
AT3G43170	Chr3	15172754	15172658	-
AT3G43180	Chr3	15178043	15178426	+
AT3G43260	Chr3	15219454	15219612	+
AT3G43280	Chr3	15230251	15229778	-
AT3G43290	Chr3	15230568	15230661	+
AT3G43340	Chr3	15285851	15285744	-
AT3G43400	Chr3	15332136	15332346	+
AT3G43410	Chr3	15341109	15340939	-
AT3G43415	Chr3	15343309	15343040	-
AT3G43470	Chr3	15393281	15393070	-
AT3G43480	Chr3	15394463	15393978	-
AT3G43490	Chr3	15398859	15399138	+
AT3G43500	Chr3	15400718	15400257	-
AT3G43503	Chr3	15400717	15400802	+
AT3G43550	Chr3	15448635	15448878	+
AT3G43570	Chr3	15473345	15473588	+
AT3G43572	Chr3	15479233	15479021	-
AT3G43574	Chr3	15480028	15479819	-
AT3G43583	Chr3	15507076	15506774	-
AT3G43630	Chr3	15538816	15539418	+
AT3G43645	Chr3	15560401	15560496	+
AT3G43682	Chr3	15584589	15584785	+
AT3G43710	Chr3	15605608	15606744	+
AT3G43750	Chr3	15646460	15646738	+
AT3G43840	Chr3	15700352	15700446	+
AT3G43870	Chr3	15728176	15728260	+
AT3G43880	Chr3	15738616	15738496	-
AT3G43910	Chr3	15751387	15751548	+
AT3G43940	Chr3	15765371	15765298	-
AT3G43950	Chr3	15766361	15767014	+
AT3G44060	Chr3	15826391	15825525	-
AT3G44080	Chr3	15837126	15836595	-
AT3G44090	Chr3	15839123	15840067	+
AT3G44130	Chr3	15881870	15882665	+
AT3G44140	Chr3	15885380	15885357	-
AT3G44170	Chr3	15894790	15895257	+
AT3G44180	Chr3	15900795	15901136	+
AT3G44210	Chr3	15916270	15916346	+
AT3G44230	Chr3	15932134	15932748	+
AT3G44235	Chr3	15933284	15933635	+
AT3G44240	Chr3	15940184	15940903	+
AT3G44261	Chr3	15954667	15954539	-
AT3G44265	Chr3	15956246	15955138	-
AT3G44428	Chr3	16067725	16067393	-
AT3G44435	Chr3	16069046	16068618	-
AT3G44490	Chr3	16097479	16097553	+
AT3G44660	Chr3	16215785	16215749	-
AT3G44704	Chr3	16244348	16244193	-
AT3G44713	Chr3	16260205	16261149	+
AT3G44718	Chr3	16266314	16266111	-
AT3G44780	Chr3	16322604	16322584	-
AT3G44785	Chr3	16328448	16328221	-
AT3G44800	Chr3	16343333	16343430	+
AT3G44805	Chr3	16350395	16350580	+
AT3G44810	Chr3	16359983	16359072	-
AT3G44830	Chr3	16368890	16369284	+
AT3G44840	Chr3	16373759	16373691	-
AT3G44900	Chr3	16388724	16388987	+
AT3G44910	Chr3	16394579	16394367	-
AT3G44935	Chr3	16409003	16409317	+
AT3G44950	Chr3	16421045	16421170	+
AT3G44980	Chr3	16441023	16441031	+
AT3G45110	Chr3	16508170	16508625	+
AT3G45150	Chr3	16531179	16531676	+
AT3G45170	Chr3	16537538	16537693	+
AT3G45180	Chr3	16539212	16538983	-
AT3G45200	Chr3	16549730	16548828	-
AT3G45220	Chr3	16566330	16565941	-
AT3G45243	Chr3	16575823	16576173	+
AT3G45245	Chr3	16578384	16578734	+
AT3G45248	Chr3	16581929	16582273	+
AT3G45285	Chr3	16614566	16614901	+
AT3G45390	Chr3	16649974	16648530	-
AT3G45450	Chr3	16673146	16673438	+
AT3G45460	Chr3	16680043	16679711	-
AT3G45470	Chr3	16681261	16680705	-
AT3G45480	Chr3	16684592	16684317	-
AT3G45500	Chr3	16689693	16689474	-
AT3G45510	Chr3	16691728	16691090	-
AT3G45525	Chr3	16697828	16697596	-
AT3G45540	Chr3	16707649	16707566	-
AT3G45555	Chr3	16713009	16712368	-
AT3G45560	Chr3	16722674	16722408	-
AT3G45570	Chr3	16726116	16725826	-
AT3G45580	Chr3	16731511	16731188	-
AT3G45645	Chr3	16756784	16756593	-
AT3G45670	Chr3	16765320	16766459	+
AT3G45673	Chr3	16768257	16768075	-
AT3G45690	Chr3	16776268	16776355	+
AT3G45720	Chr3	16785046	16785136	+
AT3G45790	Chr3	16826222	16825153	-
AT3G45820	Chr3	16840983	16840952	-
AT3G45851	Chr3	16861431	16861535	+
AT3G45910	Chr3	16877075	16876882	-
AT3G45920	Chr3	16882182	16882339	+
AT3G45940	Chr3	16889171	16888965	-
AT3G45990	Chr3	16904136	16904010	-
AT3G46050	Chr3	16916072	16917184	+
AT3G46070	Chr3	16920957	16920445	-
AT3G46086	Chr3	16925258	16925142	-
AT3G46120	Chr3	16939766	16939599	-
AT3G46140	Chr3	16948090	16949220	+
AT3G46150	Chr3	16950145	16950015	-
AT3G46160	Chr3	16950955	16952136	+
AT3G46240	Chr3	16988064	16987578	-
AT3G46260	Chr3	16999992	16999911	-
AT3G46310	Chr3	17017825	17017451	-
AT3G46340	Chr3	17026658	17026748	+
AT3G46350	Chr3	17036427	17036511	+
AT3G46355	Chr3	17039609	17039699	+
AT3G46360	Chr3	17043500	17043451	-
AT3G46380	Chr3	17059896	17059836	-
AT3G46390	Chr3	17071683	17071564	-
AT3G46410	Chr3	17079093	17079185	+
AT3G46420	Chr3	17082108	17082189	+
AT3G46470	Chr3	17100973	17100840	-
AT3G46480	Chr3	17103173	17103280	+
AT3G46565	Chr3	17144931	17145054	+
AT3G46570	Chr3	17146867	17145797	-
AT3G46613	Chr3	17165791	17166399	+
AT3G46680	Chr3	17196743	17196260	-
AT3G46840	Chr3	17251011	17251109	+
AT3G46845	Chr3	17255802	17255794	-
AT3G46850	Chr3	17256338	17256433	+
AT3G46860	Chr3	17260234	17260294	+
AT3G47020	Chr3	17319862	17320099	+
AT3G47100	Chr3	17345570	17346106	+
AT3G47130	Chr3	17353714	17353893	+
AT3G47140	Chr3	17357026	17357065	+
AT3G47150	Chr3	17358591	17359145	+
AT3G47170	Chr3	17370494	17369843	-
AT3G47341	Chr3	17441421	17441567	+
AT3G47760	Chr3	17611787	17611858	+
AT3G47920	Chr3	17682952	17683854	+
AT3G48131	Chr3	17775587	17775456	-
AT3G48187	Chr3	17797628	17800168	+
AT3G48209	Chr3	17847681	17847884	+
AT3G48220	Chr3	17853557	17853514	-
AT3G48270	Chr3	17876571	17877428	+
AT3G48298	Chr3	17885667	17885542	-
AT3G48400	Chr3	17923678	17925426	+
AT3G48475	Chr3	17956096	17956007	-
AT3G48660	Chr3	18029659	18029863	+
AT3G48675	Chr3	18034192	18034551	+
AT3G48840	Chr3	18114070	18114066	-
AT3G48960	Chr3	18151412	18151307	-
AT3G49020	Chr3	18169079	18169092	+
AT3G49055	Chr3	18186968	18186180	-
AT3G49115	Chr3	18205775	18205975	+
AT3G49130	Chr3	18210453	18210486	+
AT3G49150	Chr3	18218858	18219884	+
AT3G49200	Chr3	18237646	18237416	-
AT3G49440	Chr3	18336317	18335715	-
AT3G49460	Chr3	18340616	18340557	-
AT3G49480	Chr3	18344137	18343817	-
AT3G49510	Chr3	18353891	18355057	+
AT3G49520	Chr3	18359584	18360750	+
AT3G49551	Chr3	18368988	18368821	-
AT3G49610	Chr3	18391417	18390413	-
AT3G49700	Chr3	18436141	18435995	-
AT3G49710	Chr3	18437845	18440010	+
AT3G49744	Chr3	18450405	18450232	-
AT3G49796	Chr3	18471057	18471424	+
AT3G50090	Chr3	18575432	18575446	+
AT3G50123	Chr3	18587974	18588117	+
AT3G50180	Chr3	18607162	18606297	-
AT3G50250	Chr3	18630478	18630032	-
AT3G50373	Chr3	18685121	18684845	-
AT3G50420	Chr3	18713649	18713604	-
AT3G50440	Chr3	18718396	18717989	-
AT3G50540	Chr3	18757749	18757823	+
AT3G50580	Chr3	18769519	18768631	-
AT3G50720	Chr3	18849430	18849234	-
AT3G50730	Chr3	18853137	18852977	-
AT3G50808	Chr3	18888047	18887859	-
AT3G50845	Chr3	18901209	18901096	-
AT3G50925	Chr3	18926083	18926014	-
AT3G51020	Chr3	18949645	18949677	+
AT3G51070	Chr3	18969068	18970372	+
AT3G51190	Chr3	19017547	19017105	-
AT3G51200	Chr3	19019173	19018738	-
AT3G51210	Chr3	19020886	19020888	+
AT3G51560	Chr3	19125913	19125501	-
AT3G52020	Chr3	19299309	19299699	+
AT3G52075	Chr3	19313420	19313247	-
AT3G52320	Chr3	19404192	19403020	-
AT3G52330	Chr3	19406207	19406019	-
AT3G52350	Chr3	19410148	19409606	-
AT3G52690	Chr3	19530736	19531197	+
AT3G52700	Chr3	19538403	19538342	-
AT3G52830	Chr3	19578005	19578265	+
AT3G52941	Chr3	19633473	19633330	-
AT3G52980	Chr3	19645660	19646212	+
AT3G53050	Chr3	19669084	19669434	+
AT3G53060	Chr3	19670166	19670423	+
AT3G53070	Chr3	19674533	19674622	+
AT3G53235	Chr3	19734695	19734491	-
AT3G53290	Chr3	19758157	19758867	+
AT3G53294	Chr3	19760108	19759983	-
AT3G53305	Chr3	19763618	19764125	+
AT3G53330	Chr3	19772930	19773199	+
AT3G53550	Chr3	19856870	19856875	+
AT3G53611	Chr3	19878542	19878694	+
AT3G53640	Chr3	19888935	19887007	-
AT3G53790	Chr3	19928478	19928543	+
AT3G53840	Chr3	19945571	19946372	+
AT3G53910	Chr3	19960446	19960425	-
AT3G54070	Chr3	20023603	20023471	-
AT3G54310	Chr3	20112944	20112545	-
AT3G54363	Chr3	20132535	20132068	-
AT3G54550	Chr3	20194663	20194322	-
AT3G54570	Chr3	20199202	20197949	-
AT3G54990	Chr3	20376522	20376104	-
AT3G55540	Chr3	20598218	20598451	+
AT3G55566	Chr3	20608742	20608840	+
AT3G55570	Chr3	20610671	20610623	-
AT3G55650	Chr3	20647085	20648617	+
AT3G55670	Chr3	20659503	20659473	-
AT3G55672	Chr3	20660960	20661460	+
AT3G55680	Chr3	20666315	20666106	-
AT3G55810	Chr3	20713236	20713116	-
AT3G55900	Chr3	20742653	20742166	-
AT3G56100	Chr3	20819517	20818787	-
AT3G56390	Chr3	20907354	20907697	+
AT3G56450	Chr3	20930557	20930965	+
AT3G56500	Chr3	20943638	20943970	+
AT3G56520	Chr3	20947731	20947563	-
AT3G56530	Chr3	20950045	20949745	-
AT3G56540	Chr3	20950823	20951213	+
AT3G56560	Chr3	20955404	20955592	+
AT3G56670	Chr3	20989995	20989591	-
AT3G56770	Chr3	21030618	21030413	-
AT3G56790	Chr3	21034455	21033777	-
AT3G56820	Chr3	21041711	21041423	-
AT3G56840	Chr3	21044317	21044400	+
AT3G56890	Chr3	21063717	21063599	-
AT3G57072	Chr3	21125836	21125699	-
AT3G57370	Chr3	21228475	21227967	-
AT3G57587	Chr3	21328263	21329634	+
AT3G57700	Chr3	21384917	21385939	+
AT3G57770	Chr3	21397542	21398300	+
AT3G57787	Chr3	21404843	21404926	+
AT3G57840	Chr3	21422823	21423287	+
AT3G57850	Chr3	21424377	21424464	+
AT3G57900	Chr3	21442574	21442473	-
AT3G57960	Chr3	21463091	21463276	+
AT3G57970	Chr3	21465226	21465441	+
AT3G58210	Chr3	21564067	21563961	-
AT3G58230	Chr3	21567396	21567340	-
AT3G58240	Chr3	21569827	21569721	-
AT3G58250	Chr3	21572143	21572031	-
AT3G58280	Chr3	21579818	21579712	-
AT3G58290	Chr3	21581861	21581743	-
AT3G58300	Chr3	21583390	21583250	-
AT3G58320	Chr3	21586328	21586062	-
AT3G58330	Chr3	21588002	21587880	-
AT3G58340	Chr3	21590401	21590295	-
AT3G58360	Chr3	21594866	21594760	-
AT3G58370	Chr3	21597116	21597007	-
AT3G58400	Chr3	21603855	21603764	-
AT3G58410	Chr3	21606229	21606060	-
AT3G58420	Chr3	21612409	21612303	-
AT3G58440	Chr3	21621249	21621140	-
AT3G58585	Chr3	21665284	21665350	+
AT3G58860	Chr3	21765306	21764416	-
AT3G58875	Chr3	21767298	21767155	-
AT3G58877	Chr3	21768367	21768188	-
AT3G58880	Chr3	21770167	21769253	-
AT3G58890	Chr3	21771046	21771097	+
AT3G58910	Chr3	21776079	21775982	-
AT3G58920	Chr3	21776293	21777240	+
AT3G58950	Chr3	21785840	21785558	-
AT3G58960	Chr3	21788807	21787893	-
AT3G58980	Chr3	21797006	21796098	-
AT3G59070	Chr3	21834514	21833309	-
AT3G59130	Chr3	21862807	21862585	-
AT3G59150	Chr3	21872831	21873778	+
AT3G59160	Chr3	21875023	21876057	+
AT3G59170	Chr3	21878167	21879192	+
AT3G59180	Chr3	21880719	21881555	+
AT3G59230	Chr3	21897787	21896801	-
AT3G59240	Chr3	21900364	21899447	-
AT3G59245	Chr3	21901188	21901221	+
AT3G59250	Chr3	21903284	21903105	-
AT3G59260	Chr3	21903839	21903882	+
AT3G59270	Chr3	21907872	21907529	-
AT3G59450	Chr3	21972840	21972844	+
AT3G59460	Chr3	21977513	21977524	+
AT3G59590	Chr3	22014167	22014193	+
AT3G59610	Chr3	22019553	22020881	+
AT3G59710	Chr3	22057156	22057089	-
AT3G59740	Chr3	22069058	22066987	-
AT3G60040	Chr3	22179728	22179335	-
AT3G60060	Chr3	22182291	22182366	+
AT3G60328	Chr3	22298525	22298367	-
AT3G60560	Chr3	22382458	22382778	+
AT3G60590	Chr3	22398228	22398420	+
AT3G60710	Chr3	22440198	22440373	+
AT3G60760	Chr3	22459202	22459149	-
AT3G60790	Chr3	22464623	22464985	+
AT3G60950	Chr3	22524475	22524528	+
AT3G60961	Chr3	22541319	22541401	+
AT3G60975	Chr3	22564003	22564057	+
AT3G61030	Chr3	22585655	22585708	+
AT3G61035	Chr3	22593649	22593356	-
AT3G61040	Chr3	22596125	22595749	-
AT3G61117	Chr3	22616558	22616430	-
AT3G61175	Chr3	22643309	22643261	-
AT3G61290	Chr3	22684407	22684924	+
AT3G61500	Chr3	22762388	22761864	-
AT3G61571	Chr3	22784182	22783959	-
AT3G61720	Chr3	22845398	22843011	-
AT3G61730	Chr3	22850475	22850216	-
AT3G61810	Chr3	22877168	22877267	+
AT3G61826	Chr3	22886723	22886631	-
AT3G61829	Chr3	22887322	22887191	-
AT3G61962	Chr3	22947233	22947108	-
AT3G62030	Chr3	22973004	22973092	+
AT3G62320	Chr3	23062398	23062001	-
AT3G62350	Chr3	23071766	23071080	-
AT3G62440	Chr3	23097726	23096782	-
AT3G62500	Chr3	23120423	23120954	+
AT3G62528	Chr3	23131655	23131482	-
AT3G62615	Chr3	23155854	23155822	-
AT3G62670	Chr3	23178294	23178102	-
AT3G62695	Chr3	23185929	23186129	+
AT3G62850	Chr3	23239155	23238903	-
AT3G63095	Chr3	23315506	23316258	+
AT3G63215	Chr3	23353991	23354104	+
AT3G63230	Chr3	23359633	23359826	+
AT3G63320	Chr3	23391556	23391383	-
AT3G66656	Chr3	2091798	2091262	-
AT4G00005	Chr4	1536	1180	-
AT4G00070	Chr4	31426	31270	-
AT4G00120	Chr4	43197	41665	-
AT4G00140	Chr4	53449	53279	-
AT4G00155	Chr4	62235	62567	+
AT4G00163	Chr4	69145	69204	+
AT4G00190	Chr4	82040	81627	-
AT4G00234	Chr4	100919	101436	+
AT4G00260	Chr4	114971	115024	+
AT4G00280	Chr4	122851	122813	-
AT4G00295	Chr4	126509	127360	+
AT4G00315	Chr4	137404	138300	+
AT4G00320	Chr4	139939	140916	+
AT4G00342	Chr4	151912	151733	-
AT4G00416	Chr4	179022	179513	+
AT4G00467	Chr4	216076	216010	-
AT4G00600	Chr4	256610	256352	-
AT4G00610	Chr4	257943	256957	-
AT4G00651	Chr4	271879	271830	-
AT4G00883	Chr4	366716	367075	+
AT4G00889	Chr4	374116	374269	+
AT4G00890	Chr4	375350	373960	-
AT4G00920	Chr4	393767	393884	+
AT4G00953	Chr4	410090	410147	+
AT4G01030	Chr4	450642	447941	-
AT4G01160	Chr4	497006	496842	-
AT4G01170	Chr4	499497	500831	+
AT4G01180	Chr4	503394	503031	-
AT4G01240	Chr4	521972	521924	-
AT4G01245	Chr4	527591	527688	+
AT4G01260	Chr4	529547	528570	-
AT4G01340	Chr4	554539	554642	+
AT4G01380	Chr4	570076	570005	-
AT4G01390	Chr4	571595	571571	-
AT4G01516	Chr4	649862	649957	+
AT4G01520	Chr4	659178	659022	-
AT4G01535	Chr4	669339	669511	+
AT4G01640	Chr4	702563	702624	+
AT4G01671	Chr4	713389	713216	-
AT4G01703	Chr4	734365	734252	-
AT4G01735	Chr4	752873	752780	-
AT4G01740	Chr4	753422	753824	+
AT4G01780	Chr4	767310	767326	+
AT4G01830	Chr4	790447	790229	-
AT4G01895	Chr4	819957	820379	+
AT4G02090	Chr4	923122	923893	+
AT4G02180	Chr4	959964	960056	+
AT4G02190	Chr4	967372	969351	+
AT4G02235	Chr4	980955	981183	+
AT4G02250	Chr4	983970	984033	+
AT4G02310	Chr4	1015729	1014680	-
AT4G02405	Chr4	1059671	1059428	-
AT4G02465	Chr4	1080962	1081017	+
AT4G02489	Chr4	1097645	1097532	-
AT4G02541	Chr4	1119989	1119849	-
AT4G02735	Chr4	1217509	1217150	-
AT4G02870	Chr4	1272746	1272527	-
AT4G02910	Chr4	1289615	1289581	-
AT4G02950	Chr4	1311198	1312154	+
AT4G02970	Chr4	1317499	1318200	+
AT4G03040	Chr4	1341083	1341126	+
AT4G03113	Chr4	1382741	1382553	-
AT4G03153	Chr4	1395588	1395504	-
AT4G03156	Chr4	1396784	1396662	-
AT4G03157	Chr4	1397351	1397205	-
AT4G03160	Chr4	1397979	1398179	+
AT4G03165	Chr4	1400291	1400233	-
AT4G03170	Chr4	1400832	1401584	+
AT4G03220	Chr4	1417472	1418485	+
AT4G03292	Chr4	1445220	1444469	-
AT4G03350	Chr4	1474509	1473718	-
AT4G03370	Chr4	1478965	1478078	-
AT4G03380	Chr4	1490228	1490181	-
AT4G03443	Chr4	1527716	1528057	+
AT4G03480	Chr4	1548871	1548728	-
AT4G03505	Chr4	1557319	1556888	-
AT4G03565	Chr4	1586747	1587172	+
AT4G03570	Chr4	1594105	1594040	-
AT4G03580	Chr4	1596985	1597035	+
AT4G03590	Chr4	1602950	1602761	-
AT4G03620	Chr4	1608665	1608593	-
AT4G03625	Chr4	1608516	1608710	+
AT4G03630	Chr4	1608750	1608802	+
AT4G03728	Chr4	1652976	1652884	-
AT4G03740	Chr4	1663515	1663433	-
AT4G03830	Chr4	1790440	1791004	+
AT4G03930	Chr4	1870422	1871045	+
AT4G03940	Chr4	1873624	1873794	+
AT4G03950	Chr4	1879518	1879568	+
AT4G04078	Chr4	1961747	1961640	-
AT4G04090	Chr4	1964980	1965114	+
AT4G04110	Chr4	1972591	1972619	+
AT4G04200	Chr4	2027165	2027266	+
AT4G04265	Chr4	2058299	2058195	-
AT4G04402	Chr4	2164007	2164075	+
AT4G04404	Chr4	2166973	2167549	+
AT4G04423	Chr4	2203424	2203524	+
AT4G04480	Chr4	2229649	2230851	+
AT4G04580	Chr4	2294906	2294792	-
AT4G04601	Chr4	2309571	2309413	-
